DTYYYYMMDD,<FIRST>,<HIGH>,<LOW>,CLOSE,<VALUE>,<VOL>,<OPENINT>,<OPEN>,<LAST>
20160202,10137,10339,10111,10306,6002196947,582398,55,10147,10200
20160201,9856,10170,9855,10147,5811576562,572761,80,9850,10140
20160131,9900,9900,9821,9850,281450748,28574,22,10004,9822
20160130,9976,10100,9976,10004,530369983,53014,39,10026,9987
20160127,10190,10305,9957,10026,715347568,71346,49,10061,9957
20160126,9999,10199,9950,10061,668151794,66411,54,9841,10105
20160125,9800,9950,9800,9841,5164853706,524830,32,9770,9845
20160124,9785,9799,9690,9770,5007768622,512555,39,9634,9699
20160123,9484,9645,9435,9634,5284977173,548579,47,9542,9610
20160120,9400,9550,9375,9542,5260215950,551244,46,9457,9460
20160119,9400,9460,9345,9457,4972176080,525763,49,9050,9345
20160118,9100,9100,9025,9050,194655482,21510,7,9304,9025
20160117,9300,9440,9220,9304,5122966682,550637,61,9130,9221
20160116,9100,9190,9035,9130,371925811,40736,23,8965,9095
20160113,8921,9040,8899,8965,248573431,27726,41,8931,8960
20160112,8944,8944,8920,8931,104364120,11686,16,8850,8920
20160111,8855,8975,8810,8850,110920558,12533,12,8826,8810
20160110,8845,8850,8800,8826,84507464,9575,6,8894,8800
20160109,8902,8910,8880,8894,92838290,10438,11,8873,8880
20160106,8837,8900,8837,8873,178821432,20154,9,8830,8899
20160105,8995,8995,8800,8830,70305695,7962,5,8704,8800
20160104,8712,8746,8668,8704,126080980,14485,7,8708,8746
20160103,8708,8708,8708,8708,20098064,2308,2,8764,8708
20160102,8763,8770,8762,8764,63888660,7290,9,8679,8762
20151230,8675,8767,8653,8679,129407546,14911,13,8676,8767
20151228,8690,8690,8658,8676,11755430,1355,3,8658,8658
20151227,8658,8658,8658,8658,54017262,6239,3,8641,8658
20151226,8641,8641,8641,8641,328358,38,1,8605,8641
20151223,8628,8628,8584,8605,137154192,15938,10,8620,8615
20151222,8620,8620,8620,8620,16981400,1970,2,8609,8620
20151221,8635,8635,8576,8609,153557857,17837,7,8554,8600
20151220,8600,8600,8550,8554,15483150,1810,3,8620,8550
20151219,8700,8700,8600,8620,84067804,9753,14,8717,8600
20151216,8699,8784,8690,8717,20214994,2319,6,8690,8784
20151215,8690,8691,8690,8690,33136110,3813,5,8636,8690
20151214,8636,8636,8636,8636,8636000,1000,1,8635,8636
20151213,8635,8635,8635,8635,43865800,5080,5,8632,8635
20151209,8623,8700,8623,8632,58341615,6759,6,8612,8700
20151208,8630,8630,8600,8612,145572670,16903,8,8668,8600
20151207,8669,8669,8665,8668,50675590,5846,5,8660,8665
20151206,8674,8674,8629,8660,92960976,10734,6,8702,8629
20151205,8702,8800,8680,8702,49253698,5660,6,8706,8680
20151201,8707,8707,8690,8706,48064700,5521,7,8681,8700
20151130,8700,8700,8674,8681,9982822,1150,3,8682,8674
20151129,8682,8682,8682,8682,41552052,4786,4,8720,8682
20151128,8720,8730,8705,8720,66678305,7647,6,8713,8705
20151125,8727,8727,8683,8713,107950600,12389,7,8741,8700
20151124,8770,8770,8722,8741,34965216,4000,3,8741,8722
20151123,8741,8741,8741,8741,30593500,3500,1,8790,8741
20151122,8789,8800,8789,8790,46084096,5243,5,8774,8800
20151121,8774,8774,8774,8774,15257986,1739,2,8794,8774
20151118,8819,8819,8774,8794,150159824,17076,12,8816,8774
20151117,8803,8850,8803,8816,12554460,1424,3,8822,8850
20151116,8838,8838,8794,8822,108905130,12345,6,8783,8794
20151115,8800,8888,8715,8783,73705670,8392,8,8800,8715
20151114,8800,8800,8800,8800,11193600,1272,1,8770,8800
20151111,8800,8800,8764,8770,17453032,1990,2,8999,8764
20151110,8999,8999,8999,8999,1682813,187,1,8757,8999
20151109,8790,8790,8755,8757,17470850,1995,5,8879,8755
20151108,8880,8880,8879,8879,8701534,980,3,8891,8879
20151107,8900,8900,8890,8891,17781130,2000,2,8848,8890
20151104,8850,9000,8800,8848,434844300,49147,20,8850,8800
20151102,8850,8850,8850,8850,26550000,3000,2,8826,8850
20151101,8826,8826,8825,8826,1315045,149,2,8900,8825
20151031,8900,8900,8900,8900,8561800,962,3,8901,8900
20151027,8835,9069,8832,8901,30130470,3385,6,8858,9069
20151026,8880,8880,8855,8858,7972575,900,2,8890,8855
20151020,8900,8900,8880,8890,13309000,1497,2,8895,8880
20151019,8895,8895,8895,8895,24959370,2806,2,9001,8895
20151018,9001,9001,9001,9001,52925880,5880,7,8929,9001
20151017,8849,9000,8849,8929,228738145,25617,18,8860,8999
20151014,8860,8860,8860,8860,32595940,3679,6,8710,8860
20151013,8706,8750,8690,8710,215239200,24712,8,8705,8750
20151012,8673,8720,8673,8705,60934200,7000,7,8691,8700
20151011,8693,8693,8649,8691,45108310,5190,6,8701,8649
20151010,8700,8745,8700,8701,35805675,4115,4,8578,8745
20151007,8578,8578,8578,8578,3654228,426,2,8522,8578
20151006,8574,8574,8501,8522,44742770,5250,9,8738,8501
20151005,8602,8740,8602,8738,2665005,305,3,8531,8740
20151004,8553,8555,8515,8531,402657308,47200,11,8618,8555
20151003,8625,8625,8580,8618,63339129,7350,5,8605,8580
20150930,8605,8605,8605,8605,43025000,5000,1,8561,8605
20150929,8594,8594,8529,8561,229147003,26765,10,8669,8580
20150928,8700,8700,8602,8669,129564330,14945,8,8599,8700
20150927,8600,8600,8598,8599,53526143,6225,7,8614,8599
20150926,8632,8632,8600,8614,128851100,14958,9,8645,8600
20150923,8625,8680,8625,8645,27223320,3149,6,8625,8680
20150922,8615,8680,8615,8625,32110890,3723,3,8580,8615
20150920,8580,8580,8580,8580,8580000,1000,1,8725,8580
20150919,8730,8730,8710,8725,57847300,6630,2,8769,8710
20150916,8727,8790,8727,8769,39504135,4505,5,8706,8790
20150915,8711,8889,8690,8706,71670956,8232,7,8759,8889
20150914,8790,8790,8735,8759,142125726,16226,13,8760,8751
20150913,8986,8986,8750,8760,352782836,40270,12,8986,8750
20150912,8986,8986,8986,8986,1186152,132,1,9011,8986
20150909,9030,9030,9000,9011,320058981,35518,19,9028,9000
20150908,9029,9050,8983,9028,296003731,32786,14,9036,9037
20150907,9020,9055,9009,9036,109804828,12152,8,9099,9020
20150906,9048,9100,9048,9099,89446995,9830,5,9042,9100
20150905,9010,9099,9010,9042,66627086,7369,13,9000,9050
20150902,8984,9000,8984,9000,826823600,91870,7,8982,8984
20150901,8978,8999,8978,8982,8991178,1001,5,8988,8999
20150831,8997,8997,8974,8988,74877394,8331,7,9003,8974
20150830,9060,9060,8955,9003,574794705,63848,26,9064,9020
20150829,9005,9080,8999,9064,689783733,76100,13,8995,9080
20150826,8995,8995,8995,8995,45991435,5113,4,8981,8995
20150825,9003,9100,8954,8981,429051317,47771,28,9046,9000
20150824,9046,9046,9046,9046,45230000,5000,3,9052,9046
20150823,9094,9094,9024,9052,338102358,37350,18,9068,9035
20150822,9100,9100,9035,9068,215696170,23786,16,8973,9051
20150819,8987,9022,8921,8973,1144040000,127500,25,8957,9000
20150818,8960,8975,8936,8957,199551400,22280,8,8992,8966
20150817,8990,9046,8922,8992,1247483388,138734,21,8972,8980
20150816,8959,8990,8959,8972,58764831,6550,10,8952,8973
20150815,9008,9008,8910,8952,304543158,34019,13,8953,8934
20150812,9120,9120,8926,8953,366261528,40908,11,9142,8926
20150810,9126,9170,9113,9142,291345184,31869,11,9110,9136
20150809,9250,9280,9068,9110,246966289,27109,13,9161,9092
20150808,9220,9299,9120,9161,255850291,27929,16,9243,9200
20150805,9270,9290,9224,9243,57248692,6194,5,9273,9224
20150804,9280,9300,9226,9273,143985730,15527,6,9322,9226
20150803,9264,9360,9264,9322,247707800,26571,24,9235,9360
20150802,9301,9301,9200,9235,137813365,14923,10,9321,9225
20150801,9330,9380,9309,9321,71013253,7619,5,9331,9380
20150729,9300,9365,9300,9331,434852919,46605,19,9273,9360
20150727,9305,9305,9258,9273,102777191,11084,22,9272,9258
20150726,9288,9300,9240,9272,224540056,24217,18,9277,9240
20150725,9379,9379,9224,9277,394753659,42554,25,9525,9262
20150722,9530,9530,9390,9525,6904259570,724854,30,9470,9400
20150721,9480,9480,9465,9470,30777630,3250,4,9465,9465
20150720,9490,9500,9410,9465,191599956,20244,19,9548,9410
20150715,9900,9900,9476,9548,693294620,72609,47,9896,9500
20150714,9998,10000,9680,9896,460885758,46574,58,9944,9900
20150713,9800,10016,9600,9944,1760774717,177067,97,9539,9915
20150712,9750,9750,9467,9539,739798465,77555,31,9432,9559
20150711,9375,9660,9200,9432,114741525,12165,19,9646,9660
